id,name,parent,size
1,Crypto Valley Network,,
2,Academia & Educations,1,
3,Academia,2,
4,Center for Innovative Finance (University of Basel),3,100
5,EPFL Lausanne,3,100
6,ETH Zürich,3,100
7,FHNW,3,100
8,HSLU,3,100
9,HWZ,3,100
10,UniSG,3,100
11,University of Neuchatel,3,100
12,UZH,3,100
13,ZHAW,3,100
14,Education,2,
15,B.ACADEMY,3,100
16,BC Investment,3,100
17,bIOTs,3,100
18,BitBrain Academy,3,100
19,Bitcoin Embassy Switzerland,3,100
20,Blockchain Society,3,100
21,CAS Blockchain Certification,3,100
22,Crypto Valley Academy,3,100
23,Crypto Valley University,3,100
24,DEDIS,3,100
25,Otona,3,100
26,Swiss Blockchain Summer School,3,100
27,SwissCryptoSchool.com,3,100
28,The Blockchain Society Lab,3,100
29,Research,2,
30,AI + Blockchain,3,100
31,Blockchain Car dossier,3,100
32,Center for Digital Trust,3,100
33,Cryptecon,3,100
34,Dezentrum,3,100
35,Distributed Technologies Research,3,100
36,EUREKA,3,100
37,NEMoGrid,3,100
38,Top Coin Rating,3,100
39,UZH Blockchain Center,3,100
40,"Events, Associations & Media",1,
41,Association,2,
42,Association BitDRA,3,100
43,B. O. T. Latin America,3,100
44,Bitcoin Association Switzerland,3,100
45,Blockchain Switzerland,3,100
46,Blockchain X,3,100
47,CMTA,3,100
48,Crypto Country association,3,100
49,Crypto Explorers,3,100
50,Crypto Valley Association,3,100
51,Crypto Valley Society,3,100
52,Cryptopolis,3,100
53,DAppNode Association,3,100
54,Digitalswitzerland,3,100
55,Energy Web,3,100
56,FIBREE,3,100
57,Global Blockchain Business Council,3,100
58,Greater Zurich Area,3,100
59,IBREA,3,100
60,Indo Swiss Blockchain Alliance,3,100
61,MAMA,3,100
62,Sacagroup,3,100
63,Society3 Group,3,100
64,Swiss Association of Crypto Investors,3,100
65,Swiss Blockchain Association,3,100
66,Swiss Finance Technology Association,3,100
67,Swiss Fintech Innovations,3,100
68,Swiss-Polish Blockchain Association,3,100
